The State Federal Information Processing System (FIPS) code,The State associated with the ZIP code,ZIPCODE,Number of returns [3],Number of single returns,Number of joint returns,Number of head of household returns,Number of electronically filed returns,Number of computer prepared paper returns,Number of returns with paid preparer's signature,Number of returns with direct deposit,Number of returns with virtual currency indicator,Number of individuals [4],Total number of volunteer prepared returns [5],Number of volunteer income tax assistance (VITA) prepared returns [5],Number of tax counseling for the elderly (TCE) prepared returns [5],Number of volunteer prepared returns with Earned Income Credit [5],Number of refund anticipation check returns [6],Number of elderly returns [7],Adjust gross income (AGI) [8],Total income amount,Salaries and wages amount,Taxable interest amount,Ordinary dividends amount,Qualified dividends amount [9],State and local income tax refunds amount,Business or professional net income (less loss) amount,Net capital gain (less loss) amount,Taxable individual retirement arrangements distributions amount,Taxable pensions and annuities amount,Number of farm returns,Unemployment compensation amount [10],Taxable Social Security benefits amount,Partnership/S-corp net income (less loss) amount,Total statutory adjustments amount,Educator expenses amount,Self-employed (Keogh) retirement plans amount,Self-employed health insurance deduction amount,Individual retirement arrangement payments amount,Student loan interest deduction amount,Charitable contributions if took standard deduction,Total standard deduction amount,Basic standard deduction amount,Additional standard deduction amount,Total itemized deductions amount,Amount of AGI for itemized returns,Total medical and dental expense deduction amount,State and local income taxes amount,State and local general sales tax amount,Real estate taxes amount,Personal property taxes amount,Limited state and local taxes,Total taxes paid amount,Home mortgage interest paid amount,Home mortgage from personal seller amount,Deductible points amount,Qualified mortgage insurance premiums amount,Investment interest paid amount,Total charitable contributions amount,Other non-limited miscellaneous deductions amount,Qualified business income deduction,Taxable income amount,Income tax before credits amount,Alternative minimum tax amount,Excess advance premium tax credit repayment amount,Total tax credits amount,Foreign tax credit amount,Child and dependent care credit amount,Nonrefundable education credit amount,Retirement savings contribution credit amount,Nonrefundable child and other dependent credit amount,Residential energy tax credit amount,Self-employment tax amount,Total premium tax credit amount,Advance premium tax credit amount,Total tax payments amount,Earned income credit amount [12]  ,Excess earned income credit (refundable) amount [13]  ,Refundable child tax credit or additional child tax credit amount,Refundable education credit amount,Net premium tax credit amount,"Qualified sick and family leave credit for leave taken before April 1, 2021 amount",Refundable child and dependent care credit,"Qualified sick and family leave credit for leave taken after March 31, 2021",Recovery rebate credit amount [15],"Economic impact payment third round amount [16, 17]",Income tax after credits amount   ,Total tax liability amount [18]  ,Additional Medicare tax amount,Net investment income tax amount,Tax due at time of filing amount [19]  ,Total overpayments amount,Overpayments refunded amount [20]  ,Credited to next year’s estimated tax amount
53,WA,0,3684190.0,1856950.0,1403000.0,361320.0,3444680.0,115590.0,1517930.0,2302810.0,231020.0,6809280.0,33560.0,11150.0,22410.0,1620.0,454620.0,946750.0,438266808.0,441377068.0,268714159.0,2175632.0,10081141.0,7393770.0,11634.0,10905074.0,62261334.0,11174946.0,21074037.0,17610.0988,6571446.0,11174110.0,24739594.0,3110260.0,13959.0,567890.0,738902.0,307327.0,72033.0,382699.0,58735220.0,57467465.0,1265666.0,17008597.0,150303680.0,1675753.0,743180.0,1017227.0,2937766.0,97882.0,3152441.0,3195965.0,4749010.0,70403.0,51679.0,78204.0,266013.0,5336702.0,963248.0,5335439.0,358062324.0,70624101.0,149982.0,76291.0,1277403.0,523960.0,9145.0,166765.0,29845.0,180324.0,63095.0,1700215.0,557961.0,560428.0,73964258.0,884620.0,636405.0,2388684.0,90689.0,86773.0,7134.0,189490.0,9254.0,433109.0,7286343.0,69232875.0,73737226.0,485016.0,1855360.0,10190438.0,10446237.0,7869198.0,2451839.0
53,WA,98001,17470.0,8320.0,6910.0,1920.0,16460.0,510.0,7890.0,11520.0,1070.0,33730.0,130.0,90.0,40.0,20.0,2100.0,3930.0,1565246.0,1576080.0,1060712.0,3916.0,13373.0,9722.0,13.0,51975.0,115059.0,34940.0,88615.0,0.0,41723.0,41044.0,98977.0,10834.0,53.0,834.0,1999.0,1583.0,268.0,1874.0,283193.0,278515.0,4678.0,75235.0,394366.0,5292.0,609.0,4612.0,11956.0,760.0,14886.0,15040.0,21505.0,472.0,374.0,815.0,93.0,12468.0,9640.0,23666.0,1195051.0,199961.0,0.0,478.0,3585.0,210.0,96.0,896.0,139.0,1134.0,263.0,8427.0,3237.0,3430.0,215657.0,4527.0,3065.0,13397.0,507.0,396.0,52.0,1012.0,35.0,2326.0,38890.0,196376.0,207867.0,512.0,1820.0,33888.0,41453.0,36433.0,5019.0
53,WA,98002,16700.0,8740.0,4660.0,3020.0,15710.0,500.0,7570.0,12310.0,750.0,31690.0,270.0,180.0,90.0,60.0,3190.0,3350.0,961555.0,967840.0,724234.0,1787.0,4099.0,2593.0,0.0,32881.0,23971.0,16567.0,51132.0,0.0,36662.0,26860.0,40184.0,6285.0,31.0,0.0,630.0,568.0,231.0,1177.0,272632.0,268481.0,4149.0,29974.0,125894.0,3867.0,147.0,1817.0,4764.0,307.0,6125.0,6322.0,8604.0,0.0,121.0,715.0,0.0,3483.0,4966.0,11528.0,663480.0,95834.0,0.0,222.0,2267.0,29.0,53.0,551.0,186.0,999.0,234.0,5489.0,2138.0,2196.0,126435.0,7002.0,4961.0,15945.0,317.0,225.0,25.0,810.0,31.0,2623.0,38534.0,93568.0,100093.0,64.0,469.0,14407.0,40671.0,38813.0,1845.0
53,WA,98003,22660.0,12060.0,6570.0,3590.0,21260.0,690.0,10500.0,15870.0,1040.0,41680.0,350.0,290.0,60.0,70.0,3500.0,5130.0,1545359.0,1557794.0,1072767.0,4284.0,13903.0,9330.0,0.0,54120.0,102616.0,37305.0,85863.0,0.0,52067.0,45312.0,70970.0,12435.0,46.0,1235.0,1740.0,1381.0,340.0,1930.0,362262.0,355984.0,6277.0,60293.0,280706.0,7318.0,541.0,3951.0,8198.0,600.0,11297.0,12361.0,15648.0,151.0,165.0,782.0,321.0,12370.0,10380.0,17503.0,1127260.0,181018.0,0.0,532.0,3785.0,307.0,91.0,1039.0,187.0,1304.0,236.0,8508.0,3403.0,3685.0,214562.0,8798.0,6355.0,18866.0,630.0,361.0,95.0,1044.0,126.0,3478.0,49110.0,177232.0,189573.0,357.0,2760.0,29690.0,54473.0,50464.0,3872.0
53,WA,98004,19560.0,11200.0,7140.0,810.0,18200.0,740.0,9030.0,8430.0,2570.0,33100.0,40.0,40.0,0.0,0.0,950.0,4120.0,10285419.0,10328637.0,5076645.0,79717.0,462927.0,306156.0,149.0,153582.0,3298449.0,148744.0,85009.0,22.0,20827.0,63596.0,834329.0,43218.0,27.0,13686.0,10221.0,2306.0,239.0,1832.0,252566.0,248083.0,4482.0,375719.0,6598885.0,17461.0,36060.0,12015.0,74886.0,1375.0,37206.0,37457.0,61954.0,2168.0,492.0,25.0,27156.0,214699.0,12967.0,139937.0,9526741.0,2508777.0,7158.0,550.0,85435.0,75575.0,29.0,733.0,53.0,636.0,263.0,19058.0,2746.0,2740.0,2488909.0,1150.0,788.0,3899.0,359.0,684.0,103.0,418.0,93.0,1743.0,18070.0,2423341.0,2587608.0,28413.0,112856.0,313370.0,212568.0,66714.0,145464.0
53,WA,98005,10170.0,5290.0,4220.0,480.0,9410.0,390.0,4380.0,4960.0,1210.0,18350.0,40.0,40.0,0.0,0.0,560.0,2150.0,3539614.0,3555376.0,1678763.0,32235.0,91662.0,70223.0,10.0,30583.0,571061.0,42594.0,39313.0,0.0,14625.0,29396.0,126908.0,15762.0,22.0,4968.0,3694.0,1157.0,144.0,1064.0,144160.0,141595.0,2567.0,130465.0,1286543.0,6152.0,5689.0,5901.0,21250.0,527.0,16702.0,17095.0,27437.0,661.0,189.0,0.0,8139.0,58439.0,5059.0,24755.0,3185497.0,730197.0,1467.0,196.0,9110.0,6229.0,0.0,506.0,39.0,494.0,191.0,6640.0,1898.0,1838.0,778076.0,794.0,529.0,3001.0,268.0,348.0,0.0,265.0,0.0,1028.0,11838.0,716700.0,783926.0,6433.0,22334.0,79040.0,72698.0,28234.0,35543.0
53,WA,98006,19160.0,8240.0,9680.0,1000.0,17580.0,840.0,7970.0,8830.0,1850.0,38600.0,80.0,60.0,20.0,0.0,800.0,5040.0,5554414.0,5594606.0,3258348.0,28544.0,170168.0,127659.0,47.0,118329.0,1245685.0,159792.0,112086.0,20.0,30108.0,72298.0,343116.0,40192.0,63.0,13177.0,9141.0,3691.0,159.0,2251.0,271831.0,265655.0,6174.0,198820.0,2624996.0,15154.0,13289.0,12837.0,47829.0,1630.0,40499.0,40726.0,65570.0,1050.0,506.0,40.0,4763.0,60551.0,9994.0,60924.0,5035260.0,1200114.0,6326.0,679.0,29514.0,23338.0,45.0,1066.0,82.0,1273.0,421.0,16083.0,4649.0,4524.0,1150453.0,1775.0,1241.0,7325.0,619.0,1019.0,90.0,804.0,84.0,1937.0,23736.0,1170596.0,1243681.0,13720.0,41217.0,179928.0,85579.0,44559.0,40783.0
53,WA,98007,13040.0,7030.0,4810.0,940.0,12070.0,540.0,5810.0,7600.0,1740.0,23290.0,140.0,140.0,0.0,50.0,890.0,2140.0,2042303.0,2052676.0,1448315.0,6978.0,32549.0,25021.0,0.0,37832.0,368818.0,27185.0,32367.0,0.0,21334.0,21898.0,50487.0,10373.0,32.0,2243.0,2027.0,1180.0,166.0,1256.0,205770.0,203186.0,2584.0,53147.0,622855.0,5544.0,1347.0,3365.0,9023.0,355.0,10091.0,10227.0,15306.0,706.0,116.0,0.0,588.0,10584.0,2846.0,12194.0,1780052.0,369270.0,369.0,236.0,7398.0,4930.0,31.0,643.0,64.0,819.0,111.0,5697.0,2879.0,2815.0,367664.0,2352.0,1657.0,5949.0,327.0,375.0,0.0,446.0,0.0,1655.0,18638.0,361869.0,379271.0,3118.0,7916.0,44878.0,33023.0,26771.0,6239.0
53,WA,98008,12390.0,5790.0,5710.0,730.0,11360.0,530.0,5310.0,6000.0,1180.0,23930.0,100.0,70.0,30.0,0.0,580.0,3330.0,2842092.0,2861173.0,1914157.0,11992.0,77699.0,57978.0,0.0,73027.0,463123.0,63693.0,64807.0,0.0,19912.0,43369.0,104408.0,19081.0,33.0,5828.0,3976.0,1666.0,141.0,1414.0,179289.0,175124.0,4164.0,108572.0,1319250.0,11231.0,5043.0,7399.0,24562.0,870.0,22369.0,22484.0,36416.0,809.0,309.0,0.0,2170.0,29798.0,4661.0,22514.0,2539829.0,589879.0,1903.0,364.0,10875.0,7405.0,28.0,557.0,50.0,830.0,266.0,8492.0,2408.0,2449.0,552742.0,1200.0,828.0,4758.0,303.0,429.0,0.0,486.0,36.0,1190.0,15956.0,574285.0,605241.0,6987.0,14306.0,95791.0,42806.0,26771.0,16007.0
53,WA,98010,3890.0,1630.0,1940.0,260.0,3670.0,110.0,1650.0,2320.0,340.0,7750.0,0.0,0.0,0.0,0.0,420.0,920.0,582144.0,586325.0,378373.0,2187.0,9693.0,7382.0,0.0,13463.0,80868.0,12053.0,25361.0,0.0,6076.0,10936.0,43020.0,4181.0,28.0,803.0,1127.0,282.0,75.0,409.0,60415.0,59317.0,1099.0,27915.0,206187.0,1547.0,973.0,1948.0,5236.0,98.0,5579.0,5734.0,9699.0,124.0,93.0,97.0,96.0,8756.0,566.0,10153.0,485500.0,93209.0,0.0,62.0,966.0,138.0,0.0,180.0,16.0,199.0,50.0,2072.0,377.0,390.0,96728.0,422.0,304.0,2565.0,103.0,57.0,0.0,246.0,0.0,471.0,7039.0,92244.0,97073.0,537.0,1833.0,13049.0,12654.0,9501.0,3105.0
