City,State,ZIPCODE,Make,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,County
Aberdeen,WA,98520,BMW,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72.0,1
Aberdeen,WA,98520,BMW,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16.0,1
Aberdeen,WA,98520,CHEVROLET,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,226.375,8
Aberdeen,WA,98520,CHEVROLET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,7
Aberdeen,WA,98520,FIAT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87.0,3
Aberdeen,WA,98520,FORD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20.4,10
Aberdeen,WA,98520,HONDA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47.0,3
Aberdeen,WA,98520,HYUNDAI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29.0,1
Aberdeen,WA,98520,KIA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,155.0,5
Aberdeen,WA,98520,KIA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26.0,1
Aberdeen,WA,98520,LINCOLN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21.0,1
Aberdeen,WA,98520,NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,127.41666666666667,12
Aberdeen,WA,98520,TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,236.8181818181818,22
Aberdeen,WA,98520,TOYOTA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19.571428571428573,7
Acme,WA,98220,CHEVROLET,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,1
Acme,WA,98220,FORD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19.0,3
Acme,WA,98220,KIA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26.0,1
Acme,WA,98220,TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,1
Acme,WA,98220,VOLKSWAGEN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83.0,1
Addy,WA,99101,TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308.0,1
Airway Heights,WA,99001,CHEVROLET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,46.4,5
Airway Heights,WA,99001,FORD,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76.0,1
Airway Heights,WA,99001,FORD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19.0,3
Airway Heights,WA,99001,HONDA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47.0,1
Airway Heights,WA,99001,KIA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,166.0,2
Airway Heights,WA,99001,NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,117.5,2
Airway Heights,WA,99001,PORSCHE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,15.0,1
Airway Heights,WA,99001,TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,288.75,4
Airway Heights,WA,99001,TOYOTA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25.0,1
Airway Heights,WA,99001,VOLKSWAGEN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83.0,1
Algona,WA,98001,AUDI,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204.0,1
Algona,WA,98001,BMW,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13.0,1
Algona,WA,98001,CHEVROLET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35.0,1
Algona,WA,98001,FIAT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87.0,1
Algona,WA,98001,FORD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22.5,2
Algona,WA,98001,NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,115.25,4
Algona,WA,98001,TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,219.8,5
Algona,WA,98001,TOYOTA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18.666666666666668,3
Algona,WA,98001,VOLKSWAGEN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83.0,1
Allyn,WA,98524,BMW,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14.0,1
Allyn,WA,98524,CHEVROLET,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,1
Allyn,WA,98524,CHEVROLET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,3
Allyn,WA,98524,FIAT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84.0,1
Allyn,WA,98524,FORD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23.0,4
Allyn,WA,98524,HONDA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47.0,1
Allyn,WA,98524,KIA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26.0,1
Allyn,WA,98524,NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151.0,1
Allyn,WA,98524,TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,236.46666666666667,15
Amanda Park,WA,98526,FORD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19.0,1
Amboy,WA,98601,BMW,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97.0,1
Amboy,WA,98601,CHEVROLET,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,3
Amboy,WA,98601,FORD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21.0,2
Amboy,WA,98601,NISSAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,95.66666666666667,3
Amboy,WA,98601,TESLA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,3
Amboy,WA,98601,TOYOTA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25.0,1
Anacortes,WA,98221,AUDI,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204.0,4
Anacortes,WA,98221,AUDI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16.0,2
Anacortes,WA,98221,BMW,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81.0,1
Anacortes,WA,98221,BMW,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,92.8,10
Anacortes,WA,98221,CHEVROLET,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,246.4,35
Anacortes,WA,98221,CHEVROLET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47.0,30
Anacortes,WA,98221,CHRYSLER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.666666666666664,3
Anacortes,WA,98221,FIAT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87.0,3
