VARIABLE NAME,DESCRIPTION,VALUE/LINE REFERENCE,Type
  STATEFIPS,The State Federal Information Processing System (FIPS) code,Jan-56,  Char
  STATE,The State associated with the ZIP code,Two-digit State abbreviation code,  Char
  ZIPCODE,5-digit Zip code, ,  Char
  N1,Number of returns [3], ,Num
  MARS1,Number of single returns,  Filing status is single,Num
  MARS2,Number of joint returns,  Filing status is married filing jointly,Num
  MARS4,Number of head of household returns,  Filing status is head of household,Num
  ELF,Number of electronically filed returns,,Num
  CPREP,Number of computer prepared paper returns,,Num
  PREP,Number of returns with paid preparer's signature, ,Num
  DIR_DEP,Number of returns with direct deposit,,Num
  VRTCRIND,Number of returns with virtual currency indicator,,Num
  N2,Number of individuals [4],  ,Num
  TOTAL_VITA,Total number of volunteer prepared returns [5],,Num
  VITA,Number of volunteer income tax assistance (VITA) prepared returns [5],,Num
  TCE,Number of tax counseling for the elderly (TCE) prepared returns [5],,Num
  VITA_EIC,Number of volunteer prepared returns with Earned Income Credit [5],,Num
  RAC,Number of refund anticipation check returns [6],,Num
  ELDERLY,Number of elderly returns [7],,Num
  A00100,Adjust gross income (AGI) [8],  1040:11,Num
  N02650,Number of returns with total income,  1040:9,Num
  A02650,Total income amount,  1040:9,Num
  N00200,Number of returns with salaries and wages,  1040:1,Num
  A00200,Salaries and wages amount,  1040:1,Num
  N00300,Number of returns with taxable interest,  1040:2b,Num
  A00300,Taxable interest amount,  1040:2b,Num
  N00600,Number of returns with ordinary dividends ,  1040:3b,Num
  A00600,Ordinary dividends amount,  1040:3b,Num
  N00650,Number of returns with qualified dividends,  1040:3a,Num
  A00650,Qualified dividends amount [9],  1040:3a,Num
  N00700,Number of returns with state and local income tax refunds,  Schedule 1:1,Num
  A00700,State and local income tax refunds amount,  Schedule 1:1,Num
  N00900,Number of returns with business or professional net income (less loss),  Schedule 1:3,Num
  A00900,Business or professional net income (less loss) amount,  Schedule 1:3,Num
  N01000,Number of returns with net capital gain (less loss),  1040:7,Num
  A01000,Net capital gain (less loss) amount,  1040:7,Num
  N01400,Number of returns with taxable individual retirement arrangements distributions,  1040:4b,Num
  A01400,Taxable individual retirement arrangements distributions amount,  1040:4b,Num
  N01700,Number of returns with taxable pensions and annuities,  1040:5b,Num
  A01700,Taxable pensions and annuities amount,  1040:5b,Num
  SCHF,Number of farm returns,  Schedule 1:6,Num
  N02300,Number of returns with unemployment compensation,  Schedule 1:7,Num
  A02300,Unemployment compensation amount [10],  Schedule 1:7,Num
  N02500,Number of returns with taxable Social Security benefits,  1040:6b,Num
  A02500,Taxable Social Security benefits amount,  1040:6b,Num
  N26270,Number of returns with partnership/S-corp net income (less loss),  Schedule E:32,Num
  A26270,Partnership/S-corp net income (less loss) amount,  Schedule E:32,Num
  N02900,Number of returns with total statutory adjustments,  Schedule 1:26,Num
  A02900,Total statutory adjustments amount,  Schedule 1:26,Num
  N03220,Number of returns with educator expenses,  Schedule 1:11,Num
  A03220,Educator expenses amount,  Schedule 1:11,Num
  N03300,Number of returns with Self-employed (Keogh) retirement plans,  Schedule 1:16,Num
  A03300,Self-employed (Keogh) retirement plans amount,  Schedule 1:16,Num
  N03270,Number of returns with Self-employed health insurance deduction,  Schedule 1:17,Num
  A03270,Self-employed health insurance deduction amount,  Schedule 1:17,Num
  N03150,Number of returns with Individual retirement arrangement payments,  Schedule 1:20,Num
  A03150,Individual retirement arrangement payments amount,  Schedule 1:20,Num
  N03210,Number of returns with student loan interest deduction,  Schedule 1:21,Num
  A03210,Student loan interest deduction amount,  Schedule 1:21,Num
  N02910,Number of returns with charitable contributions if took standard deduction,  1040:12b,Num
  A02910,Charitable contributions if took standard deduction,  1040:12b,Num
  N04450,Number of returns with total standard deduction,  1040:12a,Num
  A04450,Total standard deduction amount,  1040:12a,Num
  N04100,Number of returns with basic standard deduction,  1040:12a,Num
  A04100,Basic standard deduction amount,  1040:12a,Num
  N04200,Number of returns with additional standard deduction,  1040:12a,Num
  A04200,Additional standard deduction amount,  1040:12a,Num
  N04470,Number of returns with itemized deductions,  1040:12a,Num
  A04470,Total itemized deductions amount,  1040:12a,Num
  A00101,Amount of AGI for itemized returns,  1040:11,Num
  N17000,Number of returns with Total medical and dental expense deduction,  Schedule A:4,Num
  A17000,Total medical and dental expense deduction amount,  Schedule A:4,Num
  N18425,Number of returns with State and local income taxes,  Schedule A:5a,Num
  A18425,State and local income taxes amount,  Schedule A:5a,Num
  N18450,Number of returns with State and local general sales tax,  Schedule A:5a,Num
  A18450,State and local general sales tax amount,  Schedule A:5a,Num
  N18500,Number of returns with real estate taxes,  Schedule A:5b,Num
  A18500,Real estate taxes amount,  Schedule A:5b,Num
  N18800,Number of returns with Personal property taxes,  Schedule A:5c,Num
  A18800,Personal property taxes amount,  Schedule A:5c,Num
  N18460,Number of returns with Limited state and local taxes,  Schedule A:5e,Num
  A18460,Limited state and local taxes,  Schedule A:5e,Num
  N18300,Number of returns with Total taxes paid,  Schedule A:7,Num
  A18300,Total taxes paid amount,  Schedule A:7,Num
  N19300,Number of returns with Home mortgage interest paid,  Schedule A:8a,Num
  A19300,Home mortgage interest paid amount,  Schedule A:8a,Num
